,上映日期,片名,类型,制片国家/地区,想看,ID,导演,主演
51,07月05日,素人特工,喜剧 / 动作 / 冒险,中国大陆,2385人,27155276,袁锦麟,王大陆|张榕容|米拉·乔沃维奇|许魏洲|刘美彤|肖战|林雪|大卫·麦金尼斯|鲁诺|陈国坤|周海媚
52,07月05日,猪猪侠·不可思议的世界,动画,中国大陆,511人,30324775,陆锦明|钟彧,
53,07月12日,扫毒2：天地对决,剧情 / 动作 / 犯罪,中国大陆 / 香港,10488人,30171425,邱礼涛,刘德华|古天乐|苗侨伟|林嘉欣|周秀娜|应采儿|卫诗雅|张国强|陈佩诗|郑则仕
54,07月19日,刀背藏身,剧情 / 动作 / 武侠,中国大陆,17605人,26757090,徐浩峰,许晴|张傲月|春夏|黄觉|耿乐|陈观泰|李光洁|李博|熊欣欣
55,07月19日,鼠胆英雄,喜剧,中国大陆,704人,27073057,束焕|邵丹,岳云鹏|佟丽娅|田雨|袁弘|韩童生|蔡明|刘威|于谦|大鹏|雷佳音|于洋|华少|孙越|邢佳栋|李解|浅野长英|梦瑶|张萌|常亮 |郭丰周|桑平
56,07月26日,银河补习班,剧情,中国大陆,4479人,30282387,邓超|俞白眉,邓超|白宇|任素汐|王西|孙浠伦|李建义|梁超|邵兵|王戈|吴亚衡|魏尊|冯泽昂
57,07月26日,跳舞吧！大象,剧情 / 喜剧,中国大陆,538人,30259043,林育贤,艾伦|金春花|彭杨|宋楠惜|静芳|李泰延|焦刚|石悦安鑫
58,07月26日,武圣关公,动画,中国大陆,168人,33411974,蔡志忠|母一辉,
59,07月26日,怨灵3,悬疑 / 恐怖,中国大陆 / 泰国,155人,30290872,伊萨拉·纳迪,裴蒂·赫格莉|陈锦昀|王景晨|段超|胡盛|单思杰
60,07月31日,犬爱,剧情,中国大陆,101人,33429909,杨洋,杨洋|李净洋|冯进高|窦琪
61,07月,人尽皆知,剧情 / 悬疑,西班牙 / 法国,4498人,26601224,阿斯哈·法哈蒂,哈维尔·巴登|佩内洛普·克鲁兹|里卡多·达林|巴巴拉·莱涅|埃尔薇拉·明戈斯|茵玛·奎斯塔|爱德华·费尔南德斯|拉蒙·巴雷阿|卡拉·坎普拉
62,07月,皮皮虾总裁,喜剧 / 爱情,中国大陆,3266人,30312070,陈小雨,孙苏雅|金阳|杜旭东|王宇晨|王季明珠|魏积安|张春丰|王勇
63,07月,冰雪女王4：魔镜世界,动画 / 奇幻 / 冒险,俄罗斯,2781人,30206294,罗伯特·伦塞|阿列克谢·特斯蒂斯林|刘凌峰,
64,07月,丑娃娃,喜剧 / 动画 / 奇幻,中国大陆 / 加拿大,1944人,23774847,凯利·阿斯博瑞,艾玛·罗伯茨|加奈儿·梦奈|尼克·乔纳斯|碧碧·雷克萨|旺达·塞克丝|加布里埃尔·伊格莱西亚斯|凯莉·克拉克森|查莉·XCX|布莱克·谢尔顿|皮特保罗|王力宏
65,07月,八仙过海,奇幻,中国大陆,568人,30226052,吕聿来,
66,07月,萌宠特工队,动画 / 冒险 / 家庭,德国 / 比利时,437人,30247400,克里斯托弗·劳恩斯坦|沃尔夫冈·劳恩斯坦,亚历桑德娜·内尔德尔|阿克西尔·普拉尔
67,08月01日,小Q,剧情,中国大陆 / 香港,1320人,30376977,罗永昌,任达华|梁咏琪|罗仲谦|杨采妮|袁姗姗|袁澧林|刘楚恬|林文龙|郭晋安|胡明|余佳哝|陈雅丽|贾晓晨|鲁牛|刘永
68,08月01日,烈火英雄,剧情,中国大陆,688人,30221757,陈国辉,黄晓明|杜江|谭卓|杨紫|欧豪|侯勇|印小天|谷嘉诚|张哲瀚|高戈|许文广|刘金山
69,08月08日,诛仙,爱情 / 奇幻 / 古装,中国大陆,5191人,25779217,程小东,肖战|李沁|孟美岐|唐艺昕
70,08月09日,上海堡垒,爱情 / 战争 / 科幻,中国大陆,11235人,26581837,滕华涛,鹿晗|舒淇|高以翔|石凉|王森|王宫良|孙嘉灵
71,08月09日,使徒行者2：谍影行动,剧情 / 动作 / 犯罪,中国大陆,4646人,30423193,文伟鸿,张家辉|古天乐|吴镇宇|姜珮瑶|张亦驰|刘宇宁|黄志忠
72,08月09日,伟大的愿望,剧情 / 喜剧,中国大陆,2847人,30235440,田羽生,彭昱畅|王大陆|魏大勋|曾梦雪|贾冰|岳旸|李歌
73,08月09日,凌晨两点半2,悬疑 / 惊悚 / 恐怖,中国大陆,703人,30338444,王赛,彭剑雄|张露文|王尊|高晓柔|王子航|贝乐乐|张云海|陈快乐|杨靖|华凯瑞
74,08月15日,我为兄弟狂,剧情,中国大陆,25人,30430977,任鹏,胡夏|吴昕|王自健|唐国强
75,08月16日,哪吒之魔童降世,动画,中国大陆,1237人,26794435,饺子,
76,08月16日,全职高手之巅峰荣耀,剧情 / 动画,中国大陆,968人,27145041,史涓生|邓志巍,阿杰|边江|西子 |夏磊|刘康|郭浩然|文靖渊 |张王思之|张怀瑾|郭鸿博|张喆|张沛|宝木中阳|闫紫境|管泽元|米勒
77,08月,沉默的证人,动作 / 犯罪,中国大陆 / 香港,14417人,26816090,雷尼·哈林,张家辉|杨紫|任贤齐|李成敏|冯嘉怡|陈家乐|马书良|欧阳靖|郭晋安|吴卓羲|郭羡妮|明鹏
78,08月,铤而走险,剧情 / 犯罪,中国大陆,448人,30184555,甘剑宇,大鹏|欧豪|李梦|曹炳琨|沙宝亮|曹卫宇|乌兰托雅·朵|张宁江|夏恩|李晟烨
79,08月,印度奇游,喜剧,中国大陆,146人,26323093,张建亚,王学兵|瑞迪玛·潘迪特|王双宝|张雅涵|曹随风|潘斌龙
80,08月,魔法鼠乐园,喜剧 / 动画 / 家庭,中国大陆,67人,30487738,,
81,09月12日,催眠·裁决,动作 / 犯罪,香港 / 中国大陆,947人,26752547,黎兆钧|施柏林|刘永泰,张家辉|张翰|秦沛|郑则仕|金燕玲|张兆辉|李尚正|蔡瀚亿|苏丽珊|谷祖琳|郭政鸿|王浩信|艾米|董畅|骆应钧|杨偲泳
